"","word","vowel","stress","mean_pitch","mean_amplitude","min_time","max_time","duration","mean_tilt"
"157","Mastino","v1","penultimate",216.8,0.0895901080334067,1,1.04,0.04,0.160279434212691
"158","Mastino","v2","penultimate",299.6,0.0513914245392231,1,1.18,0.18,0.0584668441776184
"159","Minimo","v1","antipenultimate",194.51,0.0406090003019239,1,1.09,0.0899999999999999,0.0795404037064755
"160","Minimo","v2","antipenultimate",169.32,0.0361902777314645,1,1.06,0.06,0.0676818535981829
"161","Ministro","v1","penultimate",274.61,0.0548764719742475,1,1.03,0.03,0.0707074786456499
"162","Ministro","v2","penultimate",255.12,0.0494032024598909,1,1.07,0.0699999999999998,0.0578722165813517
"163","Missile","v1","antipenultimate",255.4,0.0666371953888982,1,1.08,0.0800000000000001,0.054166991963605
"164","Missile","v2","antipenultimate",191.99,0.0412112022339673,1,1.06,0.06,0.055916648196649
"165","Missiva","v1","penultimate",227.87,0.0499023439870526,1,1.07,0.0700000000000001,0.0633479813353613
"166","Missiva","v2","penultimate",281.56,0.0614059652036216,1,1.17,0.17,0.049266151316441
"167","Monaco","v1","antipenultimate",238.72,0.0899357128597997,1,1.15,0.15,0.159589248056444
"168","Monaco","v2","antipenultimate",161.41,0.0685487412008288,1,1.06,0.06,0.149046275259111
"169","Monarca","v1","penultimate",236.05,0.0651199431506968,1,1.07,0.0699999999999998,0.138737414724761
"170","Monarca","v2","penultimate",209.27,0.0522494299571047,1,1.17,0.17,0.183703891648768
"171","Monile","v1","penultimate",220.46,0.073750043963071,1,1.06,0.0599999999999998,0.168969956538606
"172","Monile","v2","penultimate",248.39,0.0680932874528626,1,1.18,0.18,0.054556006888294
"173","Monito","v1","antipenultimate",225.11,0.0663702754267993,1,1.18,0.18,0.14594816936133
"174","Monito","v2","antipenultimate",174.93,0.0304288838344128,1,1.08,0.0800000000000001,0.0629785482056607
"175","Opaco","v1","penultimate",260.24,0.117609127675384,1,1.07,0.0700000000000001,0.110423119681802
"176","Opaco","v2","penultimate",230.09,0.103323918638449,1,1.21,0.21,0.197403208847467
"177","Opale","v1","penultimate",260.02,0.0793247898947616,1,1.08,0.0800000000000001,0.111162802184897
"178","Opale","v2","penultimate",222.74,0.101650825348514,1,1.19,0.19,0.211094375507623
"179","Orafo","v1","antipenultimate",233.05,0.139928794689898,1,1.15,0.15,0.157909209858619
"180","Orafo","v2","antipenultimate",176.22,0.0569407895898751,1,1.07,0.0700000000000001,0.167300293129901
"181","Orale","v1","penultimate",218.32,0.0807760890397352,1,1.1,0.1,0.117229582582881
"182","Orale","v2","penultimate",205.19,0.0990528610761276,1,1.22,0.22,0.194173265296177
"183","Pagaia","v1","penultimate",252.37,0.162874057812698,1,1.05,0.05,0.166505847761604
"184","Pagaia","v2","penultimate",214.5,0.122446359547152,1,1.18,0.18,0.17940142809347
"185","Pagano","v1","penultimate",233.13,0.135735838093205,1,1.06,0.06,0.159171651436814
"186","Pagano","v2","penultimate",192.55,0.0981275270097625,1,1.24,0.24,0.17886250311736
"187","Panico","v1","antipenultimate",254.24,0.0879709331086311,1,1.16,0.16,0.188434109825237
"188","Panico","v2","antipenultimate",172.81,0.030951668682503,1,1.06,0.06,0.0733649212433932
"189","Panino","v1","penultimate",224.4,0.132664875919408,1,1.08,0.0799999999999998,0.142923189757794
"190","Panino","v2","penultimate",246.72,0.0769736781395621,1,1.18,0.18,0.0874444778804918
"191","Patina","v1","antipenultimate",232.97,0.09023569602018,1,1.18,0.18,0.182820215279008
"192","Patina","v2","antipenultimate",212.63,0.0332662784927622,1,1.06,0.0599999999999998,0.0609633405069157
"193","Patito","v1","penultimate",221.94,0.0608128629829355,1,1.06,0.06,0.135916877609755
"194","Patito","v2","penultimate",181.42,0.0145256618431113,1,1.12,0.12,0.0534507997297308
"195","Pollice","v1","antipenultimate",247.9,0.0607845984168467,1,1.13,0.13,0.13780473690048
"196","Pollice","v2","antipenultimate",169.72,0.0340563161204801,1,1.07,0.0699999999999998,0.055220384482823
"197","Polline","v1","antipenultimate",199.17,0.0453354507759074,1,1.13,0.13,0.128148293220435
"198","Polline","v2","antipenultimate",167.13,0.0443615305393251,1,1.1,0.0999999999999999,0.0558323637389924
"199","Protesi","v1","antipenultimate",200.21,0.0791122784112593,1,1.15,0.15,0.155772187713666
"200","Protesi","v2","antipenultimate",197.93,0.0281136965029383,1,1.08,0.0800000000000001,0.0613147401094644
"201","Protesta","v1","penultimate",220.32,0.0598157397782582,1,1.06,0.06,0.118213510554836
"202","Protesta","v2","penultimate",273.76,0.0880806763964287,1,1.13,0.13,0.13974947019888
"203","Raduno","v1","penultimate",248.93,0.12480492158603,1,1.08,0.0800000000000001,0.137208573067914
"204","Raduno","v2","penultimate",199.05,0.0599711992230519,1,1.16,0.16,0.0982027372970278
"205","Radura","v1","penultimate",208.65,0.0821695194733119,1,1.08,0.0799999999999998,0.130738126200699
"206","Radura","v2","penultimate",180.37,0.0518293816582775,1,1.19,0.19,0.0813269429238483
"207","Rapido","v1","antipenultimate",224.52,0.120841492943683,1,1.11,0.11,0.199282189547794
"208","Rapido","v2","antipenultimate",183.17,0.0279053430352902,1,1.06,0.0599999999999998,0.057860045373034
"209","Rapina","v1","penultimate",245.14,0.0826422146464432,1,1.07,0.0699999999999998,0.157951891699294
"210","Rapina","v2","penultimate",224.32,0.0340755403026374,1,1.15,0.15,0.0619552846286949
"211","Remora","v1","antipenultimate",229.28,0.0800659044329807,1,1.19,0.19,0.137821515252096
"212","Remora","v2","antipenultimate",169.74,0.0531065567755783,1,1.09,0.0900000000000001,0.119793875133513
"213","Remoto","v1","penultimate",219.21,0.0900172284965851,1,1.1,0.0999999999999999,0.111119008743458
"214","Remoto","v2","penultimate",255.52,0.0805073749288272,1,1.18,0.18,0.169246641637744
"215","Ruggine","v1","antipenultimate",223.22,0.0517459345595268,1,1.13,0.13,0.0967559425927315
"216","Ruggine","v2","antipenultimate",188.41,0.0624557924415852,1,1.09,0.0900000000000001,0.0674912848074121
"217","Ruggito","v1","penultimate",254.95,0.0500112918085295,1,1.08,0.0800000000000001,0.0966300116115291
"218","Ruggito","v2","penultimate",190.44,0.0305380575547595,1,1.13,0.13,0.0589927678505208
"219","Salame","v1","penultimate",248.93,0.151234307462344,1,1.06,0.06,0.157438965813236
"220","Salame","v2","penultimate",210.52,0.172661172584745,1,1.19,0.19,0.195959317885996
"221","Salario","v1","penultimate",223.65,0.0641661167322576,1,1.06,0.06,0.1386451327856
"222","Salario","v2","penultimate",173.82,0.0666256493523978,1,1.17,0.17,0.187072113745371
"223","Salice","v1","antipenultimate",248.55,0.0949741619800397,1,1.14,0.14,0.181277005678108
"224","Salice","v2","antipenultimate",175.65,0.0380135553388511,1,1.06,0.06,0.0686678341133075
"225","Saliva","v1","penultimate",229.16,0.0940783661860507,1,1.06,0.06,0.125828658015055
"226","Saliva","v2","penultimate",249.44,0.0480420174965061,1,1.14,0.14,0.0489564869267599
"227","Sapone","v1","penultimate",260.79,0.0665562325657441,1,1.06,0.06,0.131432049100315
"228","Sapone","v2","penultimate",205.87,0.0445350447282782,1,1.2,0.2,0.129319808386345
"229","Sapore","v1","penultimate",234.58,0.085765491726414,1,1.05,0.05,0.129994294039503
"230","Sapore","v2","penultimate",200.59,0.063369040861918,1,1.24,0.24,0.114816406262198
"231","Senape","v1","antipenultimate",248.4,0.0571704802245144,1,1.16,0.16,0.13553524716801
"232","Senape","v2","antipenultimate",177.95,0.0423424739288665,1,1.06,0.06,0.143944284928149
"233","Senato","v1","penultimate",239.95,0.0826743124507449,1,1.07,0.0700000000000001,0.0871335895859802
"234","Senato","v2","penultimate",204.33,0.0600537089907971,1,1.17,0.17,0.194673880113729
"235","Siculo","v1","antipenultimate",248.17,0.0484974005821972,1,1.12,0.12,0.0575428026074843
"236","Siculo","v2","antipenultimate",191.58,0.0657577094339836,1,1.06,0.06,0.0936840216938423
"237","Sicura","v1","penultimate",227.72,0.0387859862982683,1,1.05,0.05,0.0670106568209402
"238","Sicura","v2","penultimate",197.07,0.0536377537942459,1,1.2,0.2,0.0955785631263447
"239","Tattile","v1","antipenultimate",169.51,0.0658039048994903,1,1.05,0.05,0.19783121242598
"240","Tattile","v2","antipenultimate",171.94,0.021709818310484,1,1.05,0.05,0.054314597049546
"241","Tenebra","v1","antipenultimate",209.69,0.0659628347356516,1,1.14,0.14,0.12122760026826
"242","Tenebra","v2","antipenultimate",169.04,0.0528717413863435,1,1.05,0.05,0.0900877915558762
"243","Tenero","v1","antipenultimate",198.75,0.0456851731258343,1,1.17,0.17,0.120793543610634
"244","Tenero","v2","antipenultimate",168.39,0.0363030876315692,1,1.1,0.1,0.101684554502772
"245","Termico","v1","antipenultimate",192.05,0.050645130021131,1,1.16,0.16,0.119146743170439
"246","Termico","v2","antipenultimate",164.96,0.0260912436344635,1,1.05,0.05,0.0683307684227076
"247","Termite","v1","antipenultimate",212.92,0.054584564884617,1,1.16,0.16,0.126649887412809
"248","Termite","v2","antipenultimate",160.65,0.0308628667193824,1,1.07,0.0700000000000001,0.0657651980239185
"249","Terrore","v1","penultimate",254.35,0.120401873240593,1,1.08,0.0799999999999998,0.0956784536962867
"250","Terrore","v2","penultimate",200.88,0.0685880683737593,1,1.17,0.17,0.126547264288135
"251","Terroso","v1","penultimate",263.81,0.106042543497963,1,1.07,0.0700000000000001,0.106532486973325
"252","Terroso","v2","penultimate",177.87,0.0650714803671519,1,1.14,0.14,0.110871284078133
"253","Tifone","v1","penultimate",276.61,0.0318220099265019,1,1.06,0.06,0.0723756107454144
"254","Tifone","v2","penultimate",208.78,0.0486664344801611,1,1.12,0.12,0.124070793524715
"255","Tifoso","v1","penultimate",247.46,0.0411276296147156,1,1.05,0.0499999999999998,0.0556372992819333
